type,date,strike,mv
P,2019-04-11,215,0.01
P,2019-04-11,217.5,0.01
P,2019-04-11,220,0.01
P,2019-04-11,222.5,0.01
P,2019-04-11,225,0.01
P,2019-04-11,227.5,0.01
P,2019-04-11,230,0.01
P,2019-04-11,232.5,0.01
P,2019-04-11,235,0.01
P,2019-04-11,237.5,0.01
P,2019-04-11,240,0.01
P,2019-04-11,242.5,0.01
P,2019-04-11,245,0.02
P,2019-04-11,247.5,0.03
P,2019-04-11,250,0.03
P,2019-04-11,252.5,0.04
P,2019-04-11,255,0.06
P,2019-04-11,257.5,0.08
P,2019-04-11,260,0.12
P,2019-04-11,262.5,0.19
P,2019-04-11,265,0.31
P,2019-04-11,267.5,0.53
P,2019-04-11,270,0.88
P,2019-04-11,272.5,1.43
P,2019-04-11,275,2.24
P,2019-04-11,277.5,3.35
P,2019-04-11,280,4.85
P,2019-04-11,282.5,6.8
P,2019-04-11,285,8.9
P,2019-04-11,287.5,11.25
P,2019-04-11,290,13.45
P,2019-04-11,292.5,15.85
P,2019-04-11,295,19.25
P,2019-04-11,297.5,21.35
P,2019-04-11,300,23.45
P,2019-04-11,302.5,27.2
P,2019-04-11,305,29.7
P,2019-04-11,307.5,32.2
P,2019-04-11,310,34.7
P,2019-04-11,312.5,37.2
P,2019-04-11,315,39.7
P,2019-04-11,317.5,42.2
P,2019-04-11,320,44.7
P,2019-04-11,322.5,47.2
P,2019-04-11,325,49.7
P,2019-04-11,327.5,52.2
P,2019-04-11,330,53
P,2019-05-09,215,0.02
P,2019-05-09,217.5,0.02
P,2019-05-09,220,0.03
P,2019-05-09,222.5,0.04
P,2019-05-09,225,0.04
P,2019-05-09,227.5,0.05
P,2019-05-09,230,0.06
P,2019-05-09,232.5,0.06
P,2019-05-09,235,0.08
P,2019-05-09,237.5,0.09
P,2019-05-09,240,0.12
P,2019-05-09,242.5,0.14
P,2019-05-09,245,0.18
P,2019-05-09,247.5,0.23
P,2019-05-09,250,0.29
P,2019-05-09,252.5,0.37
P,2019-05-09,255,0.48
P,2019-05-09,257.5,0.62
P,2019-05-09,260,0.82
P,2019-05-09,262.5,1.08
P,2019-05-09,265,1.42
P,2019-05-09,267.5,1.87
P,2019-05-09,270,2.45
P,2019-05-09,272.5,3.19
P,2019-05-09,275,4.06
P,2019-05-09,277.5,5.27
P,2019-05-09,280,6.57
P,2019-05-09,282.5,7.75
P,2019-05-09,285,10
P,2019-05-09,287.5,11.7
P,2019-05-09,290,14.2
P,2019-05-09,292.5,15.6
P,2019-05-09,295,19.8
P,2019-05-09,297.5,22.15
P,2019-05-09,300,24.5
P,2019-05-09,302.5,26.9
P,2019-05-09,305,28.7
P,2019-05-09,307.5,31.8
P,2019-05-09,310,34.3
P,2019-05-09,312.5,36.75
P,2019-05-09,315,39.25
P,2019-05-09,317.5,41.75
P,2019-05-09,320,44.25
P,2019-05-09,322.5,46.7
P,2019-05-09,325,49.2
P,2019-05-09,327.5,51.7
P,2019-05-09,330,54.2
P,2019-06-13,200,0.04
P,2019-06-13,202.5,0.04
P,2019-06-13,205,0.05
P,2019-06-13,207.5,0.06
P,2019-06-13,210,0.07
P,2019-06-13,212.5,0.08
P,2019-06-13,215,0.08
P,2019-06-13,217.5,0.09
P,2019-06-13,220,0.12
P,2019-06-13,222.5,0.13
P,2019-06-13,225,0.15
P,2019-06-13,227.5,0.18
P,2019-06-13,230,0.2
P,2019-06-13,232.5,0.25
P,2019-06-13,235,0.29
P,2019-06-13,237.5,0.34
P,2019-06-13,240,0.43
P,2019-06-13,242.5,0.5
P,2019-06-13,245,0.6
P,2019-06-13,247.5,0.74
P,2019-06-13,250,0.87
P,2019-06-13,252.5,1.05
P,2019-06-13,255,1.25
P,2019-06-13,257.5,1.51
P,2019-06-13,260,1.8
P,2019-06-13,262.5,2.3
P,2019-06-13,265,2.7
P,2019-06-13,267.5,3.65
P,2019-06-13,270,3.96
P,2019-06-13,272.5,4.75
P,2019-06-13,275,5.77
P,2019-06-13,277.5,7.97
P,2019-06-13,280,8.88
P,2019-06-13,282.5,10.95
P,2019-06-13,285,10.7
P,2019-06-13,287.5,13.8
P,2019-06-13,290,15
P,2019-06-13,292.5,18.3
P,2019-06-13,295,20.35
P,2019-06-13,297.5,22.5
P,2019-06-13,300,23.25
P,2019-06-13,302.5,26.95
P,2019-06-13,305,29.25
P,2019-06-13,307.5,31.6
P,2019-06-13,310,33.05
P,2019-06-13,312.5,36.4
P,2019-06-13,315,38.85
P,2019-06-13,317.5,41.25
P,2019-06-13,320,43.75
P,2019-06-13,322.5,46.2
P,2019-06-13,325,48.65
P,2019-06-13,327.5,51.15
P,2019-06-13,330,53.6
P,2019-06-13,332.5,56.1
P,2019-06-13,335,58.6
P,2019-06-13,337.5,61.1
P,2019-06-13,340,63.55
P,2019-06-13,342.5,66.05
P,2019-06-13,345,68.55
P,2019-06-13,347.5,71.05
P,2019-06-13,350,73.5
P,2019-06-13,352.5,76
P,2019-06-13,355,78.5
P,2019-06-13,357.5,81
P,2019-06-13,360,83.5
P,2019-06-13,362.5,85.95
P,2019-06-13,365,88.45
P,2019-06-13,367.5,90.95
P,2019-06-13,370,93.45
P,2019-06-13,372.5,95.95
P,2019-06-13,375,98.4
P,2019-06-13,377.5,100.9
P,2019-06-13,380,103.4
P,2019-06-13,382.5,105.9
P,2019-06-13,385,108.4
P,2019-06-13,387.5,110.85
P,2019-06-13,390,113.35
P,2019-06-13,392.5,115.85
P,2019-06-13,395,118.35
P,2019-06-13,397.5,120.85
P,2019-06-13,400,123.8
P,2019-07-11,225,0.3
P,2019-07-11,227.5,0.36
P,2019-07-11,230,0.41
P,2019-07-11,232.5,0.09
P,2019-07-11,235,0.14
P,2019-07-11,237.5,0.19
P,2019-07-11,240,0.29
P,2019-07-11,242.5,0.91
P,2019-07-11,245,1.07
P,2019-07-11,247.5,0.74
P,2019-07-11,250,1.45
P,2019-07-11,252.5,1.31
P,2019-07-11,255,1.69
P,2019-07-11,257.5,2.15
P,2019-07-11,260,2.67
P,2019-07-11,262.5,3.6
P,2019-07-11,265,4.21
P,2019-07-11,267.5,4.93
P,2019-07-11,270,5.87
P,2019-07-11,272.5,6.94
P,2019-07-11,275,7.69
P,2019-07-11,277.5,9.38
P,2019-07-11,280,10.85
P,2019-07-11,282.5,12.35
P,2019-07-11,285,14
P,2019-07-11,287.5,15.75
P,2019-07-11,290,17.5
P,2019-07-11,292.5,19.5
P,2019-07-11,295,21.45
P,2019-07-11,297.5,23.5
P,2019-07-11,300,25.7
P,2019-07-11,302.5,27.85
P,2019-07-11,305,30.1
P,2019-07-11,307.5,32.35
P,2019-07-11,310,34.65
P,2019-07-11,312.5,37.05
P,2019-07-11,315,39.4
P,2019-07-11,317.5,41.8
P,2019-07-11,320,44.2
P,2019-07-11,322.5,46.65
P,2019-07-11,325,49.1
P,2019-07-11,327.5,51.55
P,2019-07-11,330,54
